Podio por especialidad en cada torneo:
Criterio de desempate: ante igual marca, se ordena alfabéticamente por deportista.
Especialidad,Torneo,Deportista,Marca
carrera 21000 m,Torneo de El Salvador,Caroline Chepkoech KIPKIRUI,3501048
carrera 21000 m,Torneo de El Salvador,Zeineba YIMER,3506645
carrera 21000 m,Torneo de Equatorial Guinea,Evaline CHIRCHIR,3483494
carrera 21000 m,Torneo de Equatorial Guinea,Abadi HADIS,3495151
carrera 21000 m,Torneo de Equatorial Guinea,Andamlak BELIHU,3498375
carrera 21000 m,Torneo de Eritrea,Joan Chelimo MELLY,3488200
carrera 21000 m,Torneo de Eritrea,Zeineba YIMER,3491244
carrera 21000 m,Torneo de Eritrea,Benard KIMELI,3495406
carrera 21000 m,Torneo de Estonia,Senbere TEFERI,3487098
carrera 21000 m,Torneo de Estonia,Vivian J. CHERUIYOT,3489357
carrera 21000 m,Torneo de Estonia,Berehanu TSEGU,3495324
carrera 21000 m,Torneo de Ethiopia,Vivian J. CHERUIYOT,3485307
carrera 21000 m,Torneo de Ethiopia,Caroline Chepkoech KIPKIRUI,3493885
carrera 21000 m,Torneo de Ethiopia,Tsehay GEMECHU,3495752
carrera 21000 m,Torneo de Fiji,Fikadu HAFTU,3488879
carrera 21000 m,Torneo de Fiji,Lonah Chemtai SALPETER,3493192
carrera 21000 m,Torneo de Fiji,Stephen KIPROP,3508573
carrera 21000 m,Torneo de Finland,Kibiwott KANDIE,3486944
carrera 21000 m,Torneo de Finland,Geoffrey KAMWOROR,3495947
carrera 21000 m,Torneo de Finland,Senbere TEFERI,3507063
carrera 21000 m,Torneo de France,Jemal Yimer MEKONNEN,3491321
carrera 21000 m,Torneo de France,Julien WANDERS,3496545
carrera 21000 m,Torneo de France,Birhane DIBABA,3504067
carrera 21000 m,Torneo de French Guiana,Yalemzerf YEHUALAW,3489898
carrera 21000 m,Torneo de French Guiana,Birhane DIBABA,3492386
carrera 21000 m,Torneo de French Guiana,Zeineba YIMER,3498146
carrera 21000 m,Torneo de Gabon,Caroline Chepkoech KIPKIRUI,3486019
carrera 21000 m,Torneo de Gabon,Birhane DIBABA,3489722
carrera 21000 m,Torneo de Gabon,Roza DEREJE,3491719
carrera 21000 m,Torneo de Gambia,Senbere TEFERI,3481418
carrera 21000 m,Torneo de Gambia,Sifan HASSAN,3482679
carrera 21000 m,Torneo de Gambia,Valary JEMELI,3492836
carrera 21000 m,Torneo de Georgia,Ruth CHEPNGETICH,3499348
carrera 21000 m,Torneo de Georgia,Abadi HADIS,3503676
carrera 21000 m,Torneo de Georgia,Tsehay GEMECHU,3504226
carrera 21000 m,Torneo de Germany,Netsanet GUDETA,3493421
carrera 21000 m,Torneo de Germany,Caroline Chepkoech KIPKIRUI,3506562
carrera 21000 m,Torneo de Germany,Fikadu HAFTU,3510081
carrera 21000 m,Torneo de Ghana,Andamlak BELIHU,3482665
carrera 21000 m,Torneo de Ghana,Bedan KAROKI,3485214
carrera 21000 m,Torneo de Ghana,Stephen KIPROP,3492502
carrera 21000 m,Torneo de Greece,Leonard LANGAT,3481507
carrera 21000 m,Torneo de Greece,Tsehay GEMECHU,3486502
carrera 21000 m,Torneo de Greece,Zeineba YIMER,3489381
carrera 21000 m,Torneo de Grenada,Edwin KIPTOO,3484115
carrera 21000 m,Torneo de Grenada,Felix KIBITOK,3486396
carrera 21000 m,Torneo de Grenada,Birhane DIBABA,3489702
carrera 21000 m,Torneo de Guatemala,Lonah Chemtai SALPETER,3482803
carrera 21000 m,Torneo de Guatemala,Fikadu HAFTU,3485767
carrera 21000 m,Torneo de Guatemala,Andamlak BELIHU,3495142
carrera 21000 m,Torneo de Guinea,Brigid KOSGEI,3484137
carrera 21000 m,Torneo de Guinea,Birhane DIBABA,3488790
carrera 21000 m,Torneo de Guinea,Zeineba YIMER,3497222
carrera 21000 m,Torneo de Guinea-Bissau,Dorcas Jepchirchir TUITOEK,3483042
carrera 21000 m,Torneo de Guinea-Bissau,Roza DEREJE,3489666
carrera 21000 m,Torneo de Guinea-Bissau,Yalemzerf YEHUALAW,3492076
carrera 21000 m,Torneo de Guyana,Yomif KEJELCHA,3488288
carrera 21000 m,Torneo de Guyana,Valary JEMELI,3509743
carrera 21000 m,Torneo de Guyana,Brigid KOSGEI,3522522
carrera 21000 m,Torneo de Haiti,Stephen KIPROP,3495820
carrera 21000 m,Torneo de Haiti,Dibabe KUMA,3496470
carrera 21000 m,Torneo de Haiti,Roza DEREJE,3502439
carrera 21000 m,Torneo de Honduras,Seifu TURA,3483265
carrera 21000 m,Torneo de Honduras,Evaline CHIRCHIR,3484532
carrera 21000 m,Torneo de Honduras,Tsehay GEMECHU,3489680
carrera 21000 m,Torneo de Hungary,Alemu MEGERTU,3496309
carrera 21000 m,Torneo de Hungary,Tsehay GEMECHU,3514365
carrera 21000 m,Torneo de Hungary,Leonard LANGAT,3516786
carrera 21000 m,Torneo de Iceland,Stephen KIPROP,3482130
carrera 21000 m,Torneo de Iceland,Fikadu HAFTU,3482284
carrera 21000 m,Torneo de Iceland,Felix KIBITOK,3501349
carrera 21000 m,Torneo de India,Andamlak BELIHU,3489551
carrera 21000 m,Torneo de India,Senbere TEFERI,3510386
carrera 21000 m,Torneo de India,Geoffrey KAMWOROR,3523583
carrera 21000 m,Torneo de Indonesia,Zeineba YIMER,3481062
carrera 21000 m,Torneo de Indonesia,Benard KIMELI,3485931
carrera 21000 m,Torneo de Indonesia,Seifu TURA,3493113
carrera 21000 m,Torneo de Iran,Vivian J. CHERUIYOT,3492249
carrera 21000 m,Torneo de Iran,Felix KIBITOK,3493481
carrera 21000 m,Torneo de Iran,Yomif KEJELCHA,3516954
carrera 21000 m,Torneo de Iraq,Felix KIBITOK,3501025
carrera 21000 m,Torneo de Iraq,Sifan HASSAN,3507356
carrera 21000 m,Torneo de Iraq,Leonard BARSOTON,3507787
carrera 21000 m,Torneo de Ireland,Andamlak BELIHU,3484853
carrera 21000 m,Torneo de Ireland,Valary JEMELI,3491168
carrera 21000 m,Torneo de Ireland,Solomon BERIHU,3515226
carrera 21000 m,Torneo de Israel,Joan Chelimo MELLY,3490574
carrera 21000 m,Torneo de Israel,Jemal Yimer MEKONNEN,3497405
carrera 21000 m,Torneo de Israel,Ruth CHEPNGETICH,3501596
carrera 21000 m,Torneo de Italy,Seifu TURA,3486026
carrera 21000 m,Torneo de Italy,Geoffrey KAMWOROR,3494356
carrera 21000 m,Torneo de Italy,Vivian J. CHERUIYOT,3494603
carrera 21000 m,Torneo de Ivory Coast,Morris Munene GACHAGA,3486045
carrera 21000 m,Torneo de Ivory Coast,Netsanet GUDETA,3488827
carrera 21000 m,Torneo de Ivory Coast,Dorcas Jepchirchir TUITOEK,3497808
carrera 21000 m,Torneo de Jamaica,Lonah Chemtai SALPETER,3485228
carrera 21000 m,Torneo de Jamaica,Morris Munene GACHAGA,3486371
carrera 21000 m,Torneo de Jamaica,Benard KIMELI,3493551
carrera 21000 m,Torneo de Japan,Morris Munene GACHAGA,3481732
carrera 21000 m,Torneo de Japan,Stephen KIPROP,3490009
carrera 21000 m,Torneo de Japan,Geoffrey KAMWOROR,3490894
carrera 21000 m,Torneo de Jordan,Zeineba YIMER,3488102
carrera 21000 m,Torneo de Jordan,Jemal Yimer MEKONNEN,3518893
carrera 21000 m,Torneo de Jordan,Dibabe KUMA,3532410
carrera 21000 m,Torneo de Kazakhstan,Abadi HADIS,3481565
carrera 21000 m,Torneo de Kazakhstan,Stephen KIPROP,3483605
carrera 21000 m,Torneo de Kazakhstan,Seifu TURA,3503575
carrera 21000 m,Torneo de Kenya,Senbere TEFERI,3495822
carrera 21000 m,Torneo de Kenya,Edwin KIPTOO,3509109
carrera 21000 m,Torneo de Kenya,Birhane DIBABA,3510144
carrera 21000 m,Torneo de Kiribati,Seifu TURA,3482899
carrera 21000 m,Torneo de Kiribati,Alemu MEGERTU,3501438
carrera 21000 m,Torneo de Kiribati,Senbere TEFERI,3525043
carrera 21000 m,Torneo de Kosovo,Abadi HADIS,3493185
carrera 21000 m,Torneo de Kosovo,Solomon BERIHU,3500316
carrera 21000 m,Torneo de Kosovo,Leonard BARSOTON,3500473
carrera 21000 m,Torneo de Kuwait,Felix KIBITOK,3486204
carrera 21000 m,Torneo de Kuwait,Stephen KIPROP,3490071
carrera 21000 m,Torneo de Kuwait,Zeineba YIMER,3506433
carrera 21000 m,Torneo de Kyrgyzstan,Roza DEREJE,3481698
carrera 21000 m,Torneo de Kyrgyzstan,Solomon BERIHU,3493344
carrera 21000 m,Torneo de Kyrgyzstan,Evaline CHIRCHIR,3497155
carrera 21000 m,Torneo de Laos,Leonard LANGAT,3484153
carrera 21000 m,Torneo de Laos,Roza DEREJE,3495899
carrera 21000 m,Torneo de Laos,Andamlak BELIHU,3499406
carrera 21000 m,Torneo de Latvia,Ruth CHEPNGETICH,3491158
carrera 21000 m,Torneo de Latvia,Kibiwott KANDIE,3494632
carrera 21000 m,Torneo de Latvia,Berehanu TSEGU,3502657
carrera 21000 m,Torneo de Lebanon,Felix KIBITOK,3482012
carrera 21000 m,Torneo de Lebanon,Brigid KOSGEI,3488894
carrera 21000 m,Torneo de Lebanon,Zeineba YIMER,3517944
carrera 21000 m,Torneo de Lesotho,Fikadu HAFTU,3488589
carrera 21000 m,Torneo de Lesotho,Seifu TURA,3491572
carrera 21000 m,Torneo de Lesotho,Yomif KEJELCHA,3517935
carrera 21000 m,Torneo de Liberia,Yomif KEJELCHA,3483763
carrera 21000 m,Torneo de Liberia,Berehanu TSEGU,3490964
carrera 21000 m,Torneo de Liberia,Stephen KIPROP,3502730
carrera 21000 m,Torneo de Libya,Alemu MEGERTU,3485734
carrera 21000 m,Torneo de Libya,Degitu AZIMERAW,3504915
carrera 21000 m,Torneo de Libya,Dibabe KUMA,3512583
carrera 21000 m,Torneo de Liechtenstein,Caroline Chepkoech KIPKIRUI,3487600
carrera 21000 m,Torneo de Liechtenstein,Yalemzerf YEHUALAW,3494096
carrera 21000 m,Torneo de Liechtenstein,Tsehay GEMECHU,3501940
carrera 21000 m,Torneo de Lithuania,Dibabe KUMA,3488222
carrera 21000 m,Torneo de Lithuania,Solomon BERIHU,3490704
carrera 21000 m,Torneo de Lithuania,Edwin KIPTOO,3493018
carrera 21000 m,Torneo de Luxembourg,Evaline CHIRCHIR,3481005
carrera 21000 m,Torneo de Luxembourg,Julien WANDERS,3495007
carrera 21000 m,Torneo de Luxembourg,Solomon BERIHU,3518148
carrera 21000 m,Torneo de Macedonia,Benard KIMELI,3490662
carrera 21000 m,Torneo de Macedonia,Evaline CHIRCHIR,3529748
carrera 21000 m,Torneo de Macedonia,Degitu AZIMERAW,3531368
carrera 21000 m,Torneo de Madagascar,Sifan HASSAN,3482939
carrera 21000 m,Torneo de Madagascar,Tsehay GEMECHU,3492043
carrera 21000 m,Torneo de Madagascar,Andamlak BELIHU,3515541
carrera 21000 m,Torneo de Malawi,Berehanu TSEGU,3481772
carrera 21000 m,Torneo de Malawi,Bedan KAROKI,3494516
carrera 21000 m,Torneo de Malawi,Tsehay GEMECHU,3505149
carrera 21000 m,Torneo de Malaysia,Yalemzerf YEHUALAW,3489333
carrera 21000 m,Torneo de Malaysia,Zeineba YIMER,3492971
carrera 21000 m,Torneo de Malaysia,Birhane DIBABA,3512349
carrera 21000 m,Torneo de Maldives,Dorcas Jepchirchir TUITOEK,3491902
carrera 21000 m,Torneo de Maldives,Roza DEREJE,3496297
carrera 21000 m,Torneo de Maldives,Senbere TEFERI,3498728
carrera 21000 m,Torneo de Mali,Lonah Chemtai SALPETER,3499738
carrera 21000 m,Torneo de Mali,Jemal Yimer MEKONNEN,3504353
carrera 21000 m,Torneo de Mali,Caroline Chepkoech KIPKIRUI,3507251
carrera 21000 m,Torneo de Malta,Evaline CHIRCHIR,3481325
carrera 21000 m,Torneo de Malta,Fikadu HAFTU,3481768
carrera 21000 m,Torneo de Malta,Zeineba YIMER,3489929
carrera 21000 m,Torneo de Marshall Islands,Morris Munene GACHAGA,3487911
carrera 21000 m,Torneo de Marshall Islands,Yomif KEJELCHA,3508459
carrera 21000 m,Torneo de Marshall Islands,Zeineba YIMER,3511546
carrera 21000 m,Torneo de Mauritania,Zeineba YIMER,3483247
carrera 21000 m,Torneo de Mauritania,Julien WANDERS,3483721
carrera 21000 m,Torneo de Mauritania,Felix KIBITOK,3484194
carrera 21000 m,Torneo de Mauritius,Leonard BARSOTON,3485223
carrera 21000 m,Torneo de Mauritius,Valary JEMELI,3520694
carrera 21000 m,Torneo de Mauritius,Morris Munene GACHAGA,3526152
carrera 21000 m,Torneo de Mexico,Morris Munene GACHAGA,3483868
carrera 21000 m,Torneo de Mexico,Bedan KAROKI,3486426
carrera 21000 m,Torneo de Mexico,Benard KIMELI,3509934
carrera 21000 m,Torneo de Micronesia,Morris Munene GACHAGA,3491256
carrera 21000 m,Torneo de Micronesia,Vivian J. CHERUIYOT,3492489
carrera 21000 m,Torneo de Micronesia,Degitu AZIMERAW,3505028
carrera 21000 m,Torneo de Moldova,Bedan KAROKI,3486057
carrera 21000 m,Torneo de Moldova,Solomon BERIHU,3508836
carrera 21000 m,Torneo de Moldova,Tsehay GEMECHU,3531739
carrera 21000 m,Torneo de Monaco,Valary JEMELI,3485825
carrera 21000 m,Torneo de Monaco,Leonard BARSOTON,3486793
carrera 21000 m,Torneo de Monaco,Felix KIBITOK,3494197
carrera 21000 m,Torneo de Mongolia,Tsehay GEMECHU,3484546
carrera 21000 m,Torneo de Mongolia,Brigid KOSGEI,3491037
carrera 21000 m,Torneo de Mongolia,Kibiwott KANDIE,3492653
carrera 21000 m,Torneo de Montenegro,Caroline Chepkoech KIPKIRUI,3486730
carrera 21000 m,Torneo de Montenegro,Zeineba YIMER,3498672
carrera 21000 m,Torneo de Montenegro,Seifu TURA,3520917
carrera 21000 m,Torneo de Morocco,Yomif KEJELCHA,3481863
carrera 21000 m,Torneo de Morocco,Leonard BARSOTON,3487317
carrera 21000 m,Torneo de Morocco,Dibabe KUMA,3514932
carrera 21000 m,Torneo de Mozambique,Brigid KOSGEI,3487309
carrera 21000 m,Torneo de Mozambique,Tsehay GEMECHU,3500318
carrera 21000 m,Torneo de Mozambique,Joan Chelimo MELLY,3505166
carrera 21000 m,Torneo de Myanmar,Sifan HASSAN,3495155
carrera 21000 m,Torneo de Myanmar,Geoffrey KAMWOROR,3511341
carrera 21000 m,Torneo de Myanmar,Degitu AZIMERAW,3524428
carrera 21000 m,Torneo de Namibia,Joan Chelimo MELLY,3491270
carrera 21000 m,Torneo de Namibia,Kibiwott KANDIE,3499752
carrera 21000 m,Torneo de Namibia,Tsehay GEMECHU,3503581
carrera 21000 m,Torneo de Nauru,Morris Munene GACHAGA,3481852
carrera 21000 m,Torneo de Nauru,Fikadu HAFTU,3489897
carrera 21000 m,Torneo de Nauru,Bedan KAROKI,3522102
carrera 21000 m,Torneo de Nepal,Yomif KEJELCHA,3485880
carrera 21000 m,Torneo de Nepal,Degitu AZIMERAW,3495754
carrera 21000 m,Torneo de Nepal,Sifan HASSAN,3497968
carrera 21000 m,Torneo de Netherlands,Berehanu TSEGU,3483920
carrera 21000 m,Torneo de Netherlands,Brigid KOSGEI,3485370
carrera 21000 m,Torneo de Netherlands,Caroline Chepkoech KIPKIRUI,3487842
carrera 21000 m,Torneo de New Zealand,Senbere TEFERI,3487653
carrera 21000 m,Torneo de New Zealand,Netsanet GUDETA,3515093
carrera 21000 m,Torneo de New Zealand,Ruth CHEPNGETICH,3524222
carrera 21000 m,Torneo de Nicaragua,Joan Chelimo MELLY,3482666
carrera 21000 m,Torneo de Nicaragua,Birhane DIBABA,3491469
carrera 21000 m,Torneo de Nicaragua,Jemal Yimer MEKONNEN,3500993
carrera 21000 m,Torneo de Niger,Tsehay GEMECHU,3485820
carrera 21000 m,Torneo de Niger,Bedan KAROKI,3493199
carrera 21000 m,Torneo de Niger,Caroline Chepkoech KIPKIRUI,3504796
carrera 21000 m,Torneo de Nigeria,Stephen KIPROP,3491441
carrera 21000 m,Torneo de Nigeria,Morris Munene GACHAGA,3491893
carrera 21000 m,Torneo de Nigeria,Roza DEREJE,3496556
carrera 21000 m,Torneo de North Korea,Stephen KIPROP,3481218
carrera 21000 m,Torneo de North Korea,Caroline Chepkoech KIPKIRUI,3481586
carrera 21000 m,Torneo de North Korea,Sifan HASSAN,3504830
carrera 21000 m,Torneo de Northern Ireland,Senbere TEFERI,3481606
carrera 21000 m,Torneo de Northern Ireland,Benard KIMELI,3486099
carrera 21000 m,Torneo de Northern Ireland,Andamlak BELIHU,3487363
carrera 21000 m,Torneo de Norway,Leonard BARSOTON,3487258
carrera 21000 m,Torneo de Norway,Jemal Yimer MEKONNEN,3488251
carrera 21000 m,Torneo de Norway,Netsanet GUDETA,3502371
carrera 21000 m,Torneo de Oman,Brigid KOSGEI,3499318
carrera 21000 m,Torneo de Oman,Stephen KIPROP,3499713
carrera 21000 m,Torneo de Oman,Leonard LANGAT,3512041
carrera 21000 m,Torneo de Pakistan,Dibabe KUMA,3481578
carrera 21000 m,Torneo de Pakistan,Roza DEREJE,3497845
carrera 21000 m,Torneo de Pakistan,Caroline Chepkoech KIPKIRUI,3501952
carrera 21000 m,Torneo de Palau,Stephen KIPROP,3488512
carrera 21000 m,Torneo de Palau,Sifan HASSAN,3494247
carrera 21000 m,Torneo de Palau,Benard KIMELI,3504638
carrera 21000 m,Torneo de Panama,Yomif KEJELCHA,3481969
carrera 21000 m,Torneo de Panama,Roza DEREJE,3485325
carrera 21000 m,Torneo de Panama,Ruth CHEPNGETICH,3492621
carrera 21000 m,Torneo de Papua New Guinea,Leonard BARSOTON,3484102
carrera 21000 m,Torneo de Papua New Guinea,Kibiwott KANDIE,3485317
carrera 21000 m,Torneo de Papua New Guinea,Andamlak BELIHU,3496845
carrera 21000 m,Torneo de Paraguay,Andamlak BELIHU,3482678
carrera 21000 m,Torneo de Paraguay,Julien WANDERS,3493766
carrera 21000 m,Torneo de Paraguay,Tsehay GEMECHU,3494257
carrera 21000 m,Torneo de Peru,Valary JEMELI,3489540
carrera 21000 m,Torneo de Peru,Bedan KAROKI,3512015
carrera 21000 m,Torneo de Peru,Brigid KOSGEI,3521452
carrera 21000 m,Torneo de Philippines,Abadi HADIS,3506277
carrera 21000 m,Torneo de Philippines,Caroline Chepkoech KIPKIRUI,3516455
carrera 21000 m,Torneo de Philippines,Joan Chelimo MELLY,3537823
carrera 21000 m,Torneo de Poland,Yalemzerf YEHUALAW,3489151
carrera 21000 m,Torneo de Poland,Brigid KOSGEI,3489447
carrera 21000 m,Torneo de Poland,Sifan HASSAN,3497211
carrera 21000 m,Torneo de Portugal,Stephen KIPROP,3483490
carrera 21000 m,Torneo de Portugal,Roza DEREJE,3490886
carrera 21000 m,Torneo de Portugal,Kibiwott KANDIE,3494515
carrera 21000 m,Torneo de Puerto Rico,Alemu MEGERTU,3482593
carrera 21000 m,Torneo de Puerto Rico,Kibiwott KANDIE,3498056
carrera 21000 m,Torneo de Puerto Rico,Edwin KIPTOO,3509271
carrera 21000 m,Torneo de Qatar,Evaline CHIRCHIR,3496630
carrera 21000 m,Torneo de Qatar,Brigid KOSGEI,3497225
carrera 21000 m,Torneo de Qatar,Senbere TEFERI,3504219
carrera 21000 m,Torneo de Romania,Seifu TURA,3482662
carrera 21000 m,Torneo de Romania,Roza DEREJE,3503980
carrera 21000 m,Torneo de Romania,Edwin KIPTOO,3504513
carrera 21000 m,Torneo de Russia,Lonah Chemtai SALPETER,3481643
carrera 21000 m,Torneo de Russia,Abadi HADIS,3505098
carrera 21000 m,Torneo de Russia,Jemal Yimer MEKONNEN,3513942
carrera 21000 m,Torneo de Rwanda,Dibabe KUMA,3492139
carrera 21000 m,Torneo de Rwanda,Birhane DIBABA,3498831
carrera 21000 m,Torneo de Rwanda,Seifu TURA,3505596
carrera 21000 m,Torneo de Saint Kitts and Nevis,Joan Chelimo MELLY,3494400
carrera 21000 m,Torneo de Saint Kitts and Nevis,Stephen KIPROP,3511647
carrera 21000 m,Torneo de Saint Kitts and Nevis,Sifan HASSAN,3531150
carrera 21000 m,Torneo de Saint Lucia,Jemal Yimer MEKONNEN,3484446
carrera 21000 m,Torneo de Saint Lucia,Joan Chelimo MELLY,3490762
carrera 21000 m,Torneo de Saint Lucia,Julien WANDERS,3518277
carrera 21000 m,Torneo de Saint Vincent and the Grenadines,Lonah Chemtai SALPETER,3495016
carrera 21000 m,Torneo de Saint Vincent and the Grenadines,Dibabe KUMA,3497238
carrera 21000 m,Torneo de Saint Vincent and the Grenadines,Brigid KOSGEI,3499627
carrera 21000 m,Torneo de Samoa,Julien WANDERS,3492051
carrera 21000 m,Torneo de Samoa,Valary JEMELI,3492152
carrera 21000 m,Torneo de Samoa,Dorcas Jepchirchir TUITOEK,3492545
carrera 21000 m,Torneo de San Marino,Yalemzerf YEHUALAW,3490395
carrera 21000 m,Torneo de San Marino,Geoffrey KAMWOROR,3494272
carrera 21000 m,Torneo de San Marino,Zeineba YIMER,3502507
carrera 21000 m,Torneo de Sao Tome and Principe,Ruth CHEPNGETICH,3487372
carrera 21000 m,Torneo de Sao Tome and Principe,Vivian J. CHERUIYOT,3496479
carrera 21000 m,Torneo de Sao Tome and Principe,Lonah Chemtai SALPETER,3497556
carrera 21000 m,Torneo de Saudi Arabia,Fikadu HAFTU,3482370
carrera 21000 m,Torneo de Saudi Arabia,Yomif KEJELCHA,3486532
carrera 21000 m,Torneo de Saudi Arabia,Roza DEREJE,3499995
carrera 21000 m,Torneo de Scotland,Julien WANDERS,3499332
carrera 21000 m,Torneo de Scotland,Yomif KEJELCHA,3506292
carrera 21000 m,Torneo de Scotland,Morris Munene GACHAGA,3516986
carrera 21000 m,Torneo de Senegal,Roza DEREJE,3481121
carrera 21000 m,Torneo de Senegal,Alemu MEGERTU,3493224
carrera 21000 m,Torneo de Senegal,Kibiwott KANDIE,3494290
carrera 21000 m,Torneo de Serbia,Andamlak BELIHU,3496167
carrera 21000 m,Torneo de Serbia,Yalemzerf YEHUALAW,3497011
carrera 21000 m,Torneo de Serbia,Benard KIMELI,3499312
carrera 21000 m,Torneo de Seychelles,Caroline Chepkoech KIPKIRUI,3495403
carrera 21000 m,Torneo de Seychelles,Degitu AZIMERAW,3497973
carrera 21000 m,Torneo de Seychelles,Yalemzerf YEHUALAW,3501222
carrera 21000 m,Torneo de Sierra Leone,Geoffrey KAMWOROR,3496459
carrera 21000 m,Torneo de Sierra Leone,Sifan HASSAN,3510123
carrera 21000 m,Torneo de Sierra Leone,Leonard BARSOTON,3521846
carrera 21000 m,Torneo de Singapore,Valary JEMELI,3482550
carrera 21000 m,Torneo de Singapore,Brigid KOSGEI,3485140
carrera 21000 m,Torneo de Singapore,Evaline CHIRCHIR,3508440
carrera 21000 m,Torneo de Slovakia,Caroline Chepkoech KIPKIRUI,3498028
carrera 21000 m,Torneo de Slovakia,Abadi HADIS,3501882
carrera 21000 m,Torneo de Slovakia,Fikadu HAFTU,3504901
carrera 21000 m,Torneo de Slovenia,Ruth CHEPNGETICH,3491633
carrera 21000 m,Torneo de Slovenia,Andamlak BELIHU,3495332
carrera 21000 m,Torneo de Slovenia,Kibiwott KANDIE,3498637
carrera 21000 m,Torneo de Solomon Islands,Solomon BERIHU,3499563
carrera 21000 m,Torneo de Solomon Islands,Tsehay GEMECHU,3512875
carrera 21000 m,Torneo de Solomon Islands,Lonah Chemtai SALPETER,3520378
carrera 21000 m,Torneo de Somalia,Sifan HASSAN,3486710
carrera 21000 m,Torneo de Somalia,Brigid KOSGEI,3488864
carrera 21000 m,Torneo de Somalia,Dorcas Jepchirchir TUITOEK,3502170
carrera 21000 m,Torneo de South Africa,Degitu AZIMERAW,3484393
carrera 21000 m,Torneo de South Africa,Dibabe KUMA,3484762
carrera 21000 m,Torneo de South Africa,Geoffrey KAMWOROR,3503528
carrera 21000 m,Torneo de South Korea,Yalemzerf YEHUALAW,3489337
carrera 21000 m,Torneo de South Korea,Leonard BARSOTON,3496520
carrera 21000 m,Torneo de South Korea,Fikadu HAFTU,3501220
carrera 21000 m,Torneo de South Sudan,Vivian J. CHERUIYOT,3489710
carrera 21000 m,Torneo de South Sudan,Stephen KIPROP,3502174
carrera 21000 m,Torneo de South Sudan,Senbere TEFERI,3506948
carrera 21000 m,Torneo de Spain,Morris Munene GACHAGA,3490116
carrera 21000 m,Torneo de Spain,Tsehay GEMECHU,3511648
carrera 21000 m,Torneo de Spain,Senbere TEFERI,3522756
carrera 21000 m,Torneo de Sri Lanka,Berehanu TSEGU,3481292
carrera 21000 m,Torneo de Sri Lanka,Caroline Chepkoech KIPKIRUI,3493449
carrera 21000 m,Torneo de Sri Lanka,Evaline CHIRCHIR,3504527
carrera 21000 m,Torneo de Sudan,Roza DEREJE,3485949
carrera 21000 m,Torneo de Sudan,Senbere TEFERI,3496825
carrera 21000 m,Torneo de Sudan,Dibabe KUMA,3496905
carrera 21000 m,Torneo de Suriname,Bedan KAROKI,3483548
carrera 21000 m,Torneo de Suriname,Kibiwott KANDIE,3493202
carrera 21000 m,Torneo de Suriname,Senbere TEFERI,3498243
carrera 21000 m,Torneo de Sweden,Stephen KIPROP,3491775
carrera 21000 m,Torneo de Sweden,Netsanet GUDETA,3497096
carrera 21000 m,Torneo de Sweden,Abadi HADIS,3500380
carrera 21000 m,Torneo de Switzerland,Morris Munene GACHAGA,3486369
carrera 21000 m,Torneo de Switzerland,Felix KIBITOK,3508959
carrera 21000 m,Torneo de Switzerland,Brigid KOSGEI,3518217
carrera 21000 m,Torneo de Syria,Netsanet GUDETA,3482018
carrera 21000 m,Torneo de Syria,Sifan HASSAN,3492361
carrera 21000 m,Torneo de Syria,Yomif KEJELCHA,3498908
carrera 21000 m,Torneo de Taiwan,Sifan HASSAN,3482863
carrera 21000 m,Torneo de Taiwan,Vivian J. CHERUIYOT,3506111
carrera 21000 m,Torneo de Taiwan,Alemu MEGERTU,3518078
carrera 21000 m,Torneo de Tajikistan,Evaline CHIRCHIR,3484108
carrera 21000 m,Torneo de Tajikistan,Alemu MEGERTU,3495787
carrera 21000 m,Torneo de Tajikistan,Edwin KIPTOO,3497868
carrera 21000 m,Torneo de Tanzania,Bedan KAROKI,3487483
carrera 21000 m,Torneo de Tanzania,Andamlak BELIHU,3502072
carrera 21000 m,Torneo de Tanzania,Berehanu TSEGU,3506448
carrera 21000 m,Torneo de Thailand,Degitu AZIMERAW,3487023
carrera 21000 m,Torneo de Thailand,Tsehay GEMECHU,3493337
carrera 21000 m,Torneo de Thailand,Geoffrey KAMWOROR,3503880
carrera 21000 m,Torneo de Timor-Leste,Berehanu TSEGU,3485443
carrera 21000 m,Torneo de Timor-Leste,Ruth CHEPNGETICH,3498266
carrera 21000 m,Torneo de Timor-Leste,Leonard LANGAT,3506702
carrera 21000 m,Torneo de Togo,Tsehay GEMECHU,3482123
carrera 21000 m,Torneo de Togo,Julien WANDERS,3491964
carrera 21000 m,Torneo de Togo,Lonah Chemtai SALPETER,3494758
carrera 21000 m,Torneo de Tonga,Seifu TURA,3494813
carrera 21000 m,Torneo de Tonga,Vivian J. CHERUIYOT,3497036
carrera 21000 m,Torneo de Tonga,Alemu MEGERTU,3498667
carrera 21000 m,Torneo de Trinidad and Tobago,Seifu TURA,3490380
carrera 21000 m,Torneo de Trinidad and Tobago,Fikadu HAFTU,3505940
carrera 21000 m,Torneo de Trinidad and Tobago,Benard KIMELI,3511304
carrera 21000 m,Torneo de Tunisia,Zeineba YIMER,3484153
carrera 21000 m,Torneo de Tunisia,Brigid KOSGEI,3487691
carrera 21000 m,Torneo de Tunisia,Yalemzerf YEHUALAW,3492302
carrera 21000 m,Torneo de Turkey,Dibabe KUMA,3490653
